-36.32240915460798	N	-74.76144993627318	-4.479068214173296	88.27856507510964
68.17529979958286	11.829554421498756	15.420726255752811	-22.063915948636165	W
90.49374849926167	A	11.458630793540053	40.4716449358977	W
-58.59482075939253	I	-18.967495913296318	57.29323030561869	64.03567586652062
69.83730304275869	-76.2331910413074	-39.559206401504895	98.54989074200739	-66.9583433395415
0.19736021441612195	81.97643685341228	93.75588997768588	-32.38391757695831	62.08546263696712
-62.21242893603669	-10.866951733102283	1.384484675021966	-7.46807471296944	-46.60749472281982
88.91281320036015	-48.29964111998357	-17.352964131224866	W	-50.17708037502167
Z	10.033696132968942	-5.956859348205796	41.90917099646569	-82.10650234160038
J	55.87830105793623	40.361852441007585	79.48309021243696	77.66616856270488
T	G	90.69465491397918	V	G
-0.30846060134506104	20.398488618912822	-28.85712518327223	-56.29167113644675	F
Z	89.05835124722662	-33.99268840950688	66.13067775231164	A
-3.379539052033607	-64.32966595274381	-9.337829927149002	B	-90.13143262899186
-96.63141711396383	-13.778657567693273	O	-60.88308948765984	-91.41132969324335
-9.557270087569634	Q	95.38161176952059	O	59.56496142626338
-66.51228509913943	-69.45140935372818	-45.13357142112451	-41.48472839408268	11.891575292903838
96.01258852423427	-17.020278274132238	I	-52.18762261375638	-55.72152178802674
54.70555792063877	V	I	-4.5766323227307595	62.30686492336713
-54.93877916435659	G	67.1866558222996	32.65849953192816	-54.57751408182885
C	-38.495030534489125	T	C	0.2899953895731926
-31.380824873224626	81.69747358544222	68.00378353985579	-21.06606538506115	-86.95894872752301
28.91283914040409	-10.3841929517057	10.328774568930214	J	-65.17716981804233
28.346580694941224	6.810989729079651	D	19.500345508330525	-58.936618682761654
C	-92.15094332107381	-13.560007990289023	E	11.484237120531262
-94.91078692092638	R	92.66678858719678	-24.139683315219358	-1.292790961140966
-95.41855864224154	-46.26113532813125	-99.61488302702628	I	41.20743191834242
30.126569867192586	79.46246811409839	-43.9555310441746	25.81888870683909	22.061011296328473
-19.069294431217983	53.98160905174211	12.30755432142658	74.00480894598635	-15.929269041124172
96.72962094515381	-25.20129355028027	-37.23753648373218	56.899466529766244	42.922382705334
23.820960887734728	56.978507229040844	10.804881744049993	90.94808925621672	-65.87719625247405
70.19040786083707	60.10224812228509	Y	26.17781913262928	84.99962435431507
-57.05078418046368	35.66137847668631	-72.13709482793476	N	97.10450909443128
-84.24589642649833	78.24598320250766	-62.19190003113289	-33.10093473651672	24.910957584855836
41.21052397636012	T	-98.93895473709084	86.6405972040296	N
1.9833581771323168	-55.383391908316895	-19.336627878333857	86.06773280831788	67.05773563141847
B	80.61708307580636	V	64.77023815741214	69.4656785966672
J	R	-78.80727110663341	6.02001376675814	B
64.41317868047747	D	Q	S	50.806323515639946
51.735567631679004	47.08899932039691	74.31082929943724	51.43714440224693	-2.0580385154518552
-19.457058391222517	-4.591180339906202	-45.00899270247207	G	-64.72122513885941
-62.660092398917165	-77.1000200050967	60.60170731402059	75.79108023911888	-15.501788872114417
T	59.494834790152	-7.694413384376176	15.67793450351327	X
-68.56952139511256	M	20.35634411311635	-1.26364295188894	89.56213784395663
33.87372107709962	76.25172186953804	-53.16991437700385	-45.549310544024046	M
-36.98005859830036	90.91525053921919	-89.23339249144489	-83.06630365951082	90.24759367583502
16.77050389162045	94.70122431156585	78.11534492732349	-94.32462540294873	D
89.41001126101821	I	-70.81437201297828	45.4303223348588	T
-80.01050296432442	-81.57096615894463	-74.97765957218513	-3.678625861195627	14.709127223581604
-46.113594520185195	13.587408898012399	38.951289311038636	F	-36.04748314683759
-80.29262481079627	-8.841735458548143	S	O	-29.30964308896604
-56.57464639922756	64.34857563700555	-13.00570130823911	87.39928878829454	-85.17158835023608
-3.2959840990599503	-89.93619113918794	-92.00878900631035	-5.173505267143881	-69.75855125271242
-99.87943430704627	10.778487596441266	S	-19.552927273977815	-95.07470983480128
-60.72278025290221	93.9432020723587	-5.744936749431034	L	75.95528282413355
I	C	73.62643387202343	V	-84.6263879853143
-40.74387794693342	64.40808160695704	40.537417042537385	61.272434611876406	-77.33781204396911
47.5447234608275	T	82.36779064986169	-37.0334758909223	62.30272465741757
53.17690941280679	74.6869044718631	94.2831681350196	14.008937655046338	30.23249131112695
J	V	36.806034452783535	-44.08548548705484	-21.966527441776833
47.725316903315104	25.677260058703453	77.74498784459522	Y	-93.5397168608147
19.520266045015063	15.817308485482712	56.88507226824055	46.30406423609983	42.25081540979602
-52.96271111267521	V	79.27061827386669	44.62876103159499	I
-67.78334749319355	60.94425745981175	83.315838238862	-25.50384440000417	-38.15618982064286
-30.617599494164423	57.99255784374466	-99.79447816017458	L	-95.90533288287317
-74.61618831529806	-13.519904325876595	-4.507915586331407	3.930737016382025	62.319122463577145
-59.199027450463085	L	-50.19416502181742	13.828257267392914	64.38546249133014
-88.201536657372	-53.90546125521436	54.97703358046252	D	-96.04725172302433
H	-58.87247217427651	-32.82832077566418	N	N
93.16816482055523	28.751054547742427	T	S	-2.868509887036879
-82.94647020248551	-24.783094757752067	H	-25.964995486765318	N
97.3102007548307	-30.367764813811476	84.70250630848736	10.858447976445106	-92.47277805537837
-54.83475140571412	25.546889545970416	-72.18385740961023	7.699874396096746	R
9.2319268323604	Z	Z	-89.47421928572699	-72.71037325697726
S	-84.78302955750816	-11.33859389790129	-22.785440690791532	33.35237624909638
-26.90643108796216	-38.03378927815644	-2.995481665612786	-87.56135380446837	4.905216510683118
80.821051035972	-19.317352994721787	95.63078528017061	33.5660784944518	35.13351180700997
